id,name,email,username,password,date_birth,status
1,Juan Pérez,juan.perez@example.com,jperez,pass1234,1990-05-15,activo
2,María López,maria.lopez@example.com,mlopez,pass1234,1985-08-22,activo
3,Carlos Gómez,carlos.gomez@example.com,cgomez,pass1234,1992-11-30,activo
4,Ana Rodríguez,ana.rodriguez@example.com,arodriguez,pass1234,1998-03-10,activo
5,Luis Hernández,luis.hernandez@example.com,lhernandez,pass1234,1988-12-05,inactivo
6,Sofía Martínez,sofia.martinez@example.com,smartinez,pass1234,1995-07-19,activo
7,Diego Sánchez,diego.sanchez@example.com,dsanchez,pass1234,1991-01-25,activo
8,Laura Ramírez,laura.ramirez@example.com,lramirez,pass1234,1993-09-14,suspendido
9,Javier Flores,javier.flores@example.com,jflores,pass1234,1987-04-03,activo
10,Lucía Torres,lucia.torres@example.com,ltorres,pass1234,1996-06-18,activo
11,Fernando Díaz,fernando.diaz@example.com,fdiaz,pass1234,1989-10-12,activo
12,Elena Vázquez,elena.vazquez@example.com,evazquez,pass1234,1994-02-28,activo
13,Gabriel Castro,gabriel.castro@example.com,gcastro,pass1234,1997-12-01,activo
14,Valeria Morales,valeria.morales@example.com,vmorales,pass1234,1991-08-17,inactivo
15,Ricardo Gutiérrez,ricardo.gutierrez@example.com,rgutierrez,pass1234,1983-03-24,activo
16,Patricia Ortiz,patricia.ortiz@example.com,portiz,pass1234,1990-11-09,activo
17,Alejandro Silva,alejandro.silva@example.com,asilva,pass1234,1986-05-04,activo
18,Camila Ruiz,camila.ruiz@example.com,cruiz,pass1234,1999-01-15,activo
19,Manuel Núñez,manuel.nunez@example.com,mnunez,pass1234,1992-07-22,moroso
20,Gabriela Alvarez,gabriela.alvarez@example.com,galvarez,pass1234,1995-10-30,activo
21,Santiago Romero,santiago.romero@example.com,sromero,pass1234,1984-09-11,activo
22,Daniela Navarro,daniela.navarro@example.com,dnavarro,pass1234,1993-04-05,activo
23,Mateo Molina,mateo.molina@example.com,mmolina,pass1234,1998-08-14,activo
24,Paula Delgado,paula.delgado@example.com,pdelgado,pass1234,1991-06-20,inactivo
25,Nicolás Aguilar,nicolas.aguilar@example.com,naguilar,pass1234,1989-02-17,activo
26,Andrea Medina,andrea.medina@example.com,amedina,pass1234,1997-03-29,activo
27,Emilio Vega,emilio.vega@example.com,evega,pass1234,1986-12-13,activo
28,Isabel Campos,isabel.campos@example.com,icampos,pass1234,1994-11-07,suspendido
29,Adrián Vargas,adrian.vargas@example.com,avargas,pass1234,1990-07-01,activo
30,Monica Castillo,monica.castillo@example.com,mcastillo,pass1234,1988-10-25,activo
31,Hugo Guzmán,hugo.guzman@example.com,hguzman,pass1234,1993-05-19,activo
32,Natalia Moreno,natalia.moreno@example.com,nmoreno,pass1234,1996-09-08,activo
33,Sebastián Muñoz,sebastian.munoz@example.com,smunoz,pass1234,1991-04-12,activo
34,Claudia Rojas,claudia.rojas@example.com,crojas,pass1234,1985-01-31,inactivo
35,Jorge Guerrero,jorge.guerrero@example.com,jguerrero,pass1234,1997-06-23,activo
36,Fernanda Reyes,fernanda.reyes@example.com,freyes,pass1234,1992-08-04,activo
37,Esteban Peña,esteban.pena@example.com,epena,pass1234,1987-11-16,activo
38,Carla Herrera,carla.herrera@example.com,cherrera,pass1234,1995-02-09,activo
39,Rodrigo Cabrera,rodrigo.cabrera@example.com,rcabrera,pass1234,1990-10-27,moroso
40,Mariana Fuentes,mariana.fuentes@example.com,mfuentes,pass1234,1998-07-03,activo
41,Gonzalo Valenzuela,gonzalo.valenzuela@example.com,gvalenzuela,pass1234,1989-03-21,activo
42,Verónica Lara,veronica.lara@example.com,vlara,pass1234,1994-12-14,activo
43,Felipe Méndez,felipe.mendez@example.com,fmendez,pass1234,1993-01-08,activo
44,Lorena Cruz,lorena.cruz@example.com,lcruz,pass1234,1986-06-30,inactivo
45,Marcos León,marcos.leon@example.com,mleon,pass1234,1997-09-17,activo
46,Jimena Ibarra,jimena.ibarra@example.com,jibarra,pass1234,1991-11-02,activo
47,Raúl Paredes,raul.paredes@example.com,rparedes,pass1234,1988-04-26,activo
48,Silvia Soto,silvia.soto@example.com,ssoto,pass1234,1996-10-05,activo
49,Héctor Figueroa,hector.figueroa@example.com,hfigueroa,pass1234,1992-02-11,activo
50,Daniela Rivas,daniela.rivas@example.com,drivas,pass1234,1995-05-28,activo
